                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.7718,                 7.2397,                 5.8013,                      0,                      0,                      0,                      0,                 6.3844,                 9.2349,                 5.6853,                    0.1,                      0,                      0
                      2,                 6.0632,                 6.3954,                 5.0071,                  0.002,                0.02013,                0.00108,                0.00025,                 6.4846,                 11.175,                 5.5271,                0.09901,             9.9994e-06,             9.9994e-06
                      3,                 5.6036,                 5.5733,                 4.8941,                0.00267,                0.02685,                0.00179,                0.00035,                 6.5509,                 22.109,                 5.5888,                0.09802,             1.9995e-05,             1.9995e-05
                      4,                 5.5453,                 4.9903,                 4.5425,                0.00269,                0.02685,                0.00171,                0.00063,                 6.3377,                 66.194,                 5.5662,                0.09703,             2.9983e-05,             2.9983e-05
                      5,                 4.9399,                 4.9626,                 4.2964,                0.00338,                0.02685,                0.00176,                0.00078,                 6.1329,                 96.105,                 5.3986,                0.09604,             3.9961e-05,             3.9961e-05
                      6,                 4.8248,                 5.2528,                 4.1389,                0.00267,                0.02685,                0.00204,                 0.0011,                 5.8837,                  70.06,                 5.3445,                0.09505,             4.9923e-05,             4.9923e-05
                      7,                 4.7123,                 4.7763,                  3.883,                  0.004,                0.04027,                0.00249,                 0.0013,                 5.4889,                 36.007,                 4.9611,                0.09406,             5.9867e-05,             5.9867e-05
                      8,                 4.6397,                 4.6196,                 3.5179,                0.00467,                0.04698,                0.00267,                0.00111,                 5.4207,                 21.058,                 4.6552,                0.09307,             6.9789e-05,             6.9789e-05
                      9,                 4.3465,                 4.5385,                 3.4785,                  0.004,                0.04027,                 0.0023,                0.00078,                 5.3418,                 17.835,                 4.4491,                0.09208,             7.9685e-05,             7.9685e-05
                     10,                 4.4463,                 4.5621,                 3.5678,                  0.004,                0.04027,                0.00247,                0.00118,                 5.2833,                 18.192,                 4.4378,                0.09109,             8.9551e-05,             8.9551e-05
                     11,                 4.5013,                 4.2326,                 3.5047,                0.00533,                0.05369,                0.00321,                0.00158,                   4.86,                 18.347,                 4.1299,               0.090099,             9.9384e-05,             9.9384e-05
                     12,                 4.5176,                 4.5053,                 3.6671,                0.03554,                0.00671,                0.00309,                 0.0008,                 4.6237,                 23.788,                 3.9756,               0.089109,             0.00010918,             0.00010918
                     13,                 4.0442,                 4.2213,                 3.4824,                0.02409,                0.00671,                0.00203,                 0.0005,                 4.6184,                 25.942,                 3.9935,               0.088119,             0.00011894,             0.00011894
                     14,                 4.1443,                 4.1129,                 3.5389,                0.00824,                0.00671,                0.00128,                 0.0004,                 4.6523,                 32.774,                 3.9457,               0.087129,             0.00012865,             0.00012865
                     15,                 4.1533,                 4.2303,                 3.2815,                0.00267,                0.02685,                0.00137,                0.00041,                 4.6366,                 34.541,                 3.9703,               0.086138,             0.00013831,             0.00013831
                     16,                 4.0483,                 3.9176,                  3.411,                0.00467,                0.04698,                0.00247,                0.00062,                 4.6443,                 34.751,                 4.0443,               0.085148,             0.00014793,             0.00014793
                     17,                 4.1742,                 4.0152,                 3.3819,                0.00467,                0.04698,                0.00249,                0.00074,                 4.6918,                 34.943,                 4.1664,               0.084157,             0.00015749,             0.00015749
                     18,                 4.0909,                  3.696,                  3.212,                0.00467,                0.04698,                0.00249,                0.00074,                 4.6918,                 34.943,                 4.1664,               0.083167,             0.00016699,             0.00016699
                     19,                 3.8277,                  3.623,                 3.0467,                  0.004,                0.04027,                 0.0021,                 0.0007,                  4.729,                 25.605,                  4.121,               0.082176,             0.00017643,             0.00017643
                     20,                 3.9139,                 3.5658,                 3.0426,                  0.004,                0.04027,                 0.0021,                 0.0007,                  4.729,                 25.605,                  4.121,               0.081186,              0.0001858,              0.0001858
                     21,                 4.2314,                 3.6768,                 3.1875,                0.00533,                0.05369,                0.00287,                0.00094,                 4.6255,                 22.293,                 3.9153,               0.080195,             0.00019511,             0.00019511
                     22,                 4.1703,                 3.5957,                 3.1814,                0.00533,                0.05369,                0.00287,                0.00094,                 4.6255,                 22.293,                 3.9153,               0.079204,             0.00020434,             0.00020434
                     23,                 3.8921,                 3.6899,                 3.1581,                0.00662,                0.04698,                0.00374,                0.00123,                 4.4021,                 26.562,                 3.7255,               0.078213,              0.0002135,              0.0002135
                     24,                 3.9347,                 3.4026,                 3.0189,                0.00662,                0.04698,                0.00374,                0.00123,                 4.4021,                 26.562,                 3.7255,               0.077223,             0.00022258,             0.00022258
                     25,                 4.0595,                 3.8503,                 3.2144,                0.01673,                0.04027,                0.00486,                0.00147,                 4.2537,                 35.342,                 3.6073,               0.076232,             0.00023157,             0.00023157
                     26,                 3.9281,                 3.5587,                 3.0729,                0.01673,                0.04027,                0.00486,                0.00147,                 4.2537,                 35.342,                 3.6073,                0.07524,             0.00024049,             0.00024049
                     27,                 3.8808,                 3.5974,                 3.1151,                0.01436,                0.02685,                0.00439,                0.00103,                  4.444,                 27.219,                 3.6816,               0.074249,             0.00024931,             0.00024931
                     28,                 3.9737,                 3.7267,                 3.1808,                0.01436,                0.02685,                0.00439,                0.00103,                  4.444,                 27.219,                 3.6816,               0.073258,             0.00025804,             0.00025804
                     29,                 4.2985,                 3.7648,                 3.4156,                0.03725,                0.02685,                0.00576,                0.00132,                  4.555,                 19.463,                 3.9168,               0.072267,             0.00026668,             0.00026668
                     30,                 4.0177,                 3.7403,                 3.1954,                0.03725,                0.02685,                0.00576,                0.00132,                  4.555,                 19.463,                 3.9168,               0.071275,             0.00027522,             0.00027522
                     31,                  3.925,                 3.4045,                 3.2213,                0.01285,                0.04027,                0.00624,                0.00188,                 4.7951,                 16.159,                 4.5862,               0.070284,             0.00028365,             0.00028365
                     32,                 4.0877,                 3.3453,                 3.2001,                0.01285,                0.04027,                0.00624,                0.00188,                 4.7951,                 16.159,                 4.5862,               0.069292,             0.00029199,             0.00029199
                     33,                 4.3497,                 3.7554,                 3.4276,                0.04256,                0.02013,                0.00633,                0.00218,                    5.3,                 29.747,                 5.0451,                 0.0683,             0.00030021,             0.00030021
                     34,                 4.0815,                 3.4396,                  3.082,                0.04256,                0.02013,                0.00633,                0.00218,                    5.3,                 29.747,                 5.0451,               0.067308,             0.00030833,             0.00030833
                     35,                 4.1621,                 3.5259,                 3.1817,                0.02809,                0.03007,                0.00432,                0.00107,                 6.5426,                 47.743,                 5.6489,               0.066316,             0.00031633,             0.00031633
                     36,                 4.5624,                 4.2361,                 3.7093,                0.02809,                0.03007,                0.00432,                0.00107,                 6.5426,                 47.743,                 5.6489,               0.065324,             0.00032421,             0.00032421
                     37,                 3.9091,                 3.1957,                 2.9564,                0.01215,                0.02013,                0.00323,                0.00087,                 6.7729,                  34.91,                 5.4721,               0.064332,             0.00033198,             0.00033198
                     38,                 3.9425,                 3.8626,                  3.435,                0.01215,                0.02013,                0.00323,                0.00087,                 6.7729,                  34.91,                 5.4721,                0.06334,             0.00033963,             0.00033963
                     39,                 4.2466,                 3.3056,                 3.2375,                 0.0123,                 0.0604,                0.00543,                0.00161,                  5.993,                 18.548,                 5.0363,               0.062347,             0.00034715,             0.00034715
                     40,                 4.2496,                 3.7231,                 3.3436,                 0.0123,                 0.0604,                0.00543,                0.00161,                  5.993,                 18.548,                 5.0363,               0.061355,             0.00035454,             0.00035454
                     41,                 3.5354,                 3.2659,                 3.0045,                 0.0293,                0.03356,                0.00642,                0.00203,                 5.4674,                 19.268,                 4.6094,               0.060362,             0.00036181,             0.00036181
                     42,                 3.9234,                 3.3922,                 3.1839,                 0.0293,                0.03356,                0.00642,                0.00203,                 5.4674,                 19.268,                 4.6094,               0.059369,             0.00036894,             0.00036894
                     43,                  3.771,                 3.3377,                 2.9657,                0.02397,                0.05369,                0.00559,                 0.0016,                   5.64,                 30.455,                 4.7939,               0.058376,             0.00037594,             0.00037594
                     44,                 3.7024,                 3.3919,                 3.1181,                0.02397,                0.05369,                0.00559,                 0.0016,                   5.64,                 30.455,                 4.7939,               0.057383,              0.0003828,              0.0003828
                     45,                  3.616,                 3.4275,                   3.15,                0.02255,                0.05369,                0.00626,                0.00181,                 5.6472,                 38.872,                 4.9285,                0.05639,             0.00038952,             0.00038952
                     46,                 3.7262,                 3.0633,                 2.9125,                0.02255,                0.05369,                0.00626,                0.00181,                 5.6472,                 38.872,                 4.9285,               0.055396,              0.0003961,              0.0003961
                     47,                  3.706,                 3.1494,                 2.8888,                0.01928,                0.04698,                0.00557,                0.00145,                 5.6102,                 40.112,                 4.9103,               0.054403,             0.00040253,             0.00040253
                     48,                 3.7345,                 3.2461,                 3.2028,                0.01928,                0.04698,                0.00557,                0.00145,                 5.6102,                 40.112,                 4.9103,               0.053409,             0.00040882,             0.00040882
                     49,                 3.6936,                 3.3144,                 3.0469,                 0.0315,                0.02685,                0.00712,                0.00153,                 5.7156,                 32.607,                 5.0683,               0.052415,             0.00041496,             0.00041496
                     50,                 3.9743,                 3.2919,                 3.1339,                 0.0315,                0.02685,                0.00712,                0.00153,                 5.7156,                 32.607,                 5.0683,               0.051421,             0.00042095,             0.00042095
                     51,                 3.8984,                 3.1038,                 2.9439,                0.03326,                 0.0328,                0.00679,                0.00144,                 5.8243,                  29.79,                 5.1356,               0.050427,             0.00042678,             0.00042678
                     52,                 3.4997,                 2.6735,                 2.7854,                0.03326,                 0.0328,                0.00679,                0.00144,                 5.8243,                  29.79,                 5.1356,               0.049432,             0.00043247,             0.00043247
                     53,                 3.7082,                 2.9674,                 2.9438,                0.03326,                 0.0328,                0.00679,                0.00144,                 5.8243,                  29.79,                 5.1356,               0.048438,             0.00043799,             0.00043799
                     54,                 3.8189,                 3.2555,                 3.1785,                0.01384,                0.01342,                0.00368,                0.00085,                 6.2724,                 37.246,                 5.6357,               0.047443,             0.00044336,             0.00044336
