                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.5037,                 7.3699,                 5.9369,                      0,                      0,                      0,                      0,                 8.2191,                 13.465,                 5.1593,                  2e-05,                  2e-05,                  2e-05
                      2,                 5.5308,                 7.0451,                 5.6739,                      0,                      0,                      0,                      0,                 7.2209,                 12.262,                 4.8049,             5.9406e-05,             5.9406e-05,             5.9406e-05
                      3,                 5.1779,                 6.5355,                 5.4873,                      0,                      0,                      0,                      0,                 6.4894,                 14.572,                 4.6635,              9.802e-05,              9.802e-05,              9.802e-05
                      4,                 4.8207,                 5.9272,                 5.1402,                0.20292,                0.00752,                0.00294,                0.00101,                 5.6616,                 270.33,                 4.7731,             0.00013584,             0.00013584,             0.00013584
                      5,                 4.5135,                 4.9607,                 5.0577,                0.05505,                0.01504,                0.00223,                0.00076,                 5.0174,                 316.79,                 4.5791,             0.00017287,             0.00017287,             0.00017287
                      6,                 4.3898,                 4.9928,                 4.5323,                0.05505,                0.01504,                0.00223,                0.00076,                 5.0174,                 316.79,                 4.5791,             0.00020911,             0.00020911,             0.00020911
                      7,                 4.2729,                  4.764,                 4.1895,                0.01297,                0.02256,                0.00209,                0.00069,                 5.2004,                 123.55,                 4.5166,             0.00024456,             0.00024456,             0.00024456
                      8,                 4.1056,                 4.5877,                 4.1786,                0.00139,                0.01504,                0.00068,                 0.0003,                 6.4406,                 907.05,                 7.0504,             0.00027921,             0.00027921,             0.00027921
                      9,                 4.0749,                 4.8339,                 3.9592,                0.00139,                0.01504,                0.00068,                 0.0003,                 6.4406,                 907.05,                 7.0504,             0.00031307,             0.00031307,             0.00031307
                     10,                 4.7093,                 7.3244,                 4.5804,                0.00067,                0.00752,                0.00034,                  7e-05,                 9.3853,                 94.006,                 6.7701,             0.00034614,             0.00034614,             0.00034614
                     11,                 4.6113,                 5.0031,                 4.1397,                0.00067,                0.00752,                0.00034,                  7e-05,                 9.3853,                 94.006,                 6.7701,             0.00037842,             0.00037842,             0.00037842
                     12,                 4.4868,                 5.0653,                 4.0847,                0.00295,                0.01504,                0.00107,                0.00042,                 7.8581,                 657.58,                 4.9638,             0.00040991,             0.00040991,             0.00040991
                     13,                 4.2637,                 4.9661,                 3.9262,                0.00295,                0.01504,                0.00107,                0.00042,                 7.8581,                 657.58,                 4.9638,              0.0004406,              0.0004406,              0.0004406
                     14,                  4.205,                 5.0932,                 3.9143,                0.00295,                0.01504,                0.00107,                0.00042,                 7.8581,                 657.58,                 4.9638,              0.0004705,              0.0004705,              0.0004705
                     15,                 4.3285,                 5.0165,                 4.2248,                  0.002,                0.02256,                 0.0011,                0.00035,                  5.613,                 485.55,                 5.5545,             0.00049961,             0.00049961,             0.00049961
                     16,                 3.8041,                 4.7807,                 3.8754,                  0.002,                0.02256,                 0.0011,                0.00035,                  5.613,                 485.55,                 5.5545,             0.00052793,             0.00052793,             0.00052793
                     17,                 3.8361,                 5.1383,                 4.1289,                  0.002,                0.02256,                 0.0011,                0.00035,                  5.613,                 485.55,                 5.5545,             0.00055546,             0.00055546,             0.00055546
                     18,                 3.8551,                 4.7858,                 3.8039,                0.00258,                0.00752,                0.00105,                0.00017,                 7.4494,                 79.877,                  4.782,             0.00058219,             0.00058219,             0.00058219
                     19,                 3.9724,                 4.8494,                 3.8141,                0.00258,                0.00752,                0.00105,                0.00017,                 7.4494,                 79.877,                  4.782,             0.00060813,             0.00060813,             0.00060813
                     20,                 3.6402,                 4.6752,                 3.6545,                0.00258,                0.00752,                0.00105,                0.00017,                 7.4494,                 79.877,                  4.782,             0.00063328,             0.00063328,             0.00063328
                     21,                 4.1071,                 4.9242,                 3.9197,                0.00432,                0.00752,                0.00105,                0.00048,                 5.8521,                 304.06,                 4.5571,             0.00065764,             0.00065764,             0.00065764
                     22,                 3.7741,                  4.586,                 3.7437,                0.00432,                0.00752,                0.00105,                0.00048,                 5.8521,                 304.06,                 4.5571,             0.00068121,             0.00068121,             0.00068121
                     23,                 3.3827,                 4.4938,                 3.6425,                0.00432,                0.00752,                0.00105,                0.00048,                 5.8521,                 304.06,                 4.5571,             0.00070398,             0.00070398,             0.00070398
                     24,                 4.0285,                 4.8468,                 3.9747,                0.00432,                0.00752,                0.00105,                0.00048,                 5.8521,                 304.06,                 4.5571,             0.00072596,             0.00072596,             0.00072596
                     25,                 3.8696,                 5.0678,                 4.0057,                0.00068,                0.00752,                0.00034,                0.00013,                 4.2416,                 1052.6,                 3.9866,             0.00074715,             0.00074715,             0.00074715
                     26,                 3.4542,                 4.3453,                 3.6588,                0.00068,                0.00752,                0.00034,                0.00013,                 4.2416,                 1052.6,                 3.9866,             0.00076755,             0.00076755,             0.00076755
                     27,                 3.7995,                 4.6424,                 3.7579,                0.00068,                0.00752,                0.00034,                0.00013,                 4.2416,                 1052.6,                 3.9866,             0.00078716,             0.00078716,             0.00078716
                     28,                 3.6926,                 4.3159,                 3.5922,                0.00068,                0.00752,                0.00034,                0.00013,                 4.2416,                 1052.6,                 3.9866,             0.00080597,             0.00080597,             0.00080597
                     29,                 3.6509,                 4.6137,                  3.903,                0.00068,                0.00752,                0.00034,                0.00013,                 4.2416,                 1052.6,                 3.9866,             0.00082399,             0.00082399,             0.00082399
                     30,                 3.7088,                 4.3369,                 3.6433,                  0.002,                0.02256,                0.00103,                0.00017,                 6.0916,                 630.21,                 6.4142,             0.00084122,             0.00084122,             0.00084122
                     31,                 4.1759,                 4.3689,                 3.9213,                  0.002,                0.02256,                0.00103,                0.00017,                 6.0916,                 630.21,                 6.4142,             0.00085766,             0.00085766,             0.00085766
                     32,                 4.1159,                 4.5849,                  3.845,                  0.002,                0.02256,                0.00103,                0.00017,                 6.0916,                 630.21,                 6.4142,             0.00087331,             0.00087331,             0.00087331
                     33,                 4.0788,                 4.7493,                 3.9474,                  0.002,                0.02256,                0.00103,                0.00017,                 6.0916,                 630.21,                 6.4142,             0.00088816,             0.00088816,             0.00088816
                     34,                 4.2245,                  4.675,                 4.1024,                  0.002,                0.02256,                0.00103,                0.00017,                 6.0916,                 630.21,                 6.4142,             0.00090222,             0.00090222,             0.00090222
                     35,                 4.2139,                 4.5066,                 4.0486,                  0.002,                0.02256,                0.00103,                0.00017,                 6.0916,                 630.21,                 6.4142,             0.00091549,             0.00091549,             0.00091549
                     36,                 3.8088,                 4.1877,                 3.5866,                  0.002,                0.02256,                0.00103,                0.00017,                 6.2025,                  23761,                 9.4181,             0.00092797,             0.00092797,             0.00092797
                     37,                 3.8087,                 4.5822,                 3.5547,                  0.002,                0.02256,                0.00103,                0.00017,                 6.2025,                  23761,                 9.4181,             0.00093966,             0.00093966,             0.00093966
                     38,                 3.6669,                 4.4496,                 3.6009,                  0.002,                0.02256,                0.00103,                0.00017,                 6.2025,                  23761,                 9.4181,             0.00095055,             0.00095055,             0.00095055
                     39,                 3.8737,                 4.5061,                 3.6632,                  0.002,                0.02256,                0.00103,                0.00017,                 6.2025,                  23761,                 9.4181,             0.00096065,             0.00096065,             0.00096065
                     40,                 3.9323,                 4.8381,                 3.7235,                  0.002,                0.02256,                0.00103,                0.00017,                 6.2025,                  23761,                 9.4181,             0.00096996,             0.00096996,             0.00096996
                     41,                 3.7608,                 4.8026,                 3.6412,                  0.002,                0.02256,                0.00103,                0.00017,                 6.2025,                  23761,                 9.4181,             0.00097848,             0.00097848,             0.00097848
                     42,                 3.8679,                  4.665,                 3.6927,                  0.002,                0.02256,                0.00103,                0.00017,                 6.2025,                  23761,                 9.4181,             0.00098621,             0.00098621,             0.00098621
                     43,                 3.9281,                 4.2485,                 3.8502,                0.00267,                0.03008,                0.00139,                0.00045,                 5.2185,                 2430.3,                 5.2876,             0.00099314,             0.00099314,             0.00099314
                     44,                 3.8218,                  4.262,                 3.4836,                0.00267,                0.03008,                0.00139,                0.00045,                 5.2185,                 2430.3,                 5.2876,             0.00099928,             0.00099928,             0.00099928
                     45,                 3.6838,                  4.241,                 3.5606,                0.00267,                0.03008,                0.00139,                0.00045,                 5.2185,                 2430.3,                 5.2876,              0.0010046,              0.0010046,              0.0010046
                     46,                 3.6014,                  4.356,                 3.4954,                0.00267,                0.03008,                0.00139,                0.00045,                 5.2185,                 2430.3,                 5.2876,              0.0010092,              0.0010092,              0.0010092
                     47,                 3.5854,                 4.4525,                 3.5536,                0.00267,                0.03008,                0.00139,                0.00045,                 5.2185,                 2430.3,                 5.2876,               0.001013,               0.001013,               0.001013
                     48,                 3.7221,                 4.6247,                  3.663,                0.00267,                0.03008,                0.00139,                0.00045,                 5.2185,                 2430.3,                 5.2876,              0.0010159,              0.0010159,              0.0010159
                     49,                 3.7027,                 4.4721,                 3.5691,                0.00267,                0.03008,                0.00139,                0.00045,                 5.2185,                 2430.3,                 5.2876,              0.0010181,              0.0010181,              0.0010181
                     50,                 3.5471,                  4.266,                 3.3585,                0.00267,                0.03008,                0.00139,                0.00045,                 5.2185,                 2430.3,                 5.2876,              0.0010195,              0.0010195,              0.0010195
                     51,                 3.4088,                 4.1718,                 3.3788,                0.01198,                0.02256,                0.00229,                0.00088,                 5.1243,                 247.69,                 4.6653,                0.00101,                0.00101,                0.00101
                     52,                 3.5297,                 3.7801,                 3.3391,                0.01198,                0.02256,                0.00229,                0.00088,                 5.1243,                 247.69,                 4.6653,              0.0009902,              0.0009902,              0.0009902
                     53,                 3.5293,                 3.8432,                 3.3161,                0.01198,                0.02256,                0.00229,                0.00088,                 5.1243,                 247.69,                 4.6653,              0.0009704,              0.0009704,              0.0009704
                     54,                 3.6796,                 3.8683,                 3.4027,                0.01198,                0.02256,                0.00229,                0.00088,                 5.1243,                 247.69,                 4.6653,              0.0009506,              0.0009506,              0.0009506
                     55,                 3.5596,                  3.803,                 3.3231,                0.01198,                0.02256,                0.00229,                0.00088,                 5.1243,                 247.69,                 4.6653,              0.0009308,              0.0009308,              0.0009308
                     56,                 3.5845,                 3.8734,                 3.4032,                0.01198,                0.02256,                0.00229,                0.00088,                 5.1243,                 247.69,                 4.6653,               0.000911,               0.000911,               0.000911
                     57,                 3.9095,                 4.2483,                 3.6907,                0.01198,                0.02256,                0.00229,                0.00088,                 5.1243,                 247.69,                 4.6653,              0.0008912,              0.0008912,              0.0008912
                     58,                 3.6892,                 3.9925,                 3.5408,                0.01198,                0.02256,                0.00229,                0.00088,                 5.1243,                 247.69,                 4.6653,              0.0008714,              0.0008714,              0.0008714
                     59,                 3.6085,                 3.9228,                 3.4007,                0.00545,                0.04511,                0.00435,                 0.0015,                 4.4676,                 84.628,                 3.6461,              0.0008516,              0.0008516,              0.0008516
                     60,                 3.7348,                 3.9052,                 3.4402,                0.00545,                0.04511,                0.00435,                 0.0015,                 4.4676,                 84.628,                 3.6461,              0.0008318,              0.0008318,              0.0008318
                     61,                 3.4654,                 3.7258,                 3.3026,                0.00545,                0.04511,                0.00435,                 0.0015,                 4.4676,                 84.628,                 3.6461,               0.000812,               0.000812,               0.000812
                     62,                 3.3206,                 3.7555,                 3.3291,                0.00545,                0.04511,                0.00435,                 0.0015,                 4.4676,                 84.628,                 3.6461,              0.0007922,              0.0007922,              0.0007922
                     63,                 3.5916,                 3.9576,                 3.4462,                0.00545,                0.04511,                0.00435,                 0.0015,                 4.4676,                 84.628,                 3.6461,              0.0007724,              0.0007724,              0.0007724
                     64,                 3.4931,                 3.8751,                 3.3938,                0.00545,                0.04511,                0.00435,                 0.0015,                 4.4676,                 84.628,                 3.6461,              0.0007526,              0.0007526,              0.0007526
                     65,                   3.29,                 3.7628,                 3.2122,                0.00545,                0.04511,                0.00435,                 0.0015,                 4.4676,                 84.628,                 3.6461,              0.0007328,              0.0007328,              0.0007328
                     66,                 3.9642,                 4.0132,                 3.5031,                0.00545,                0.04511,                0.00435,                 0.0015,                 4.4676,                 84.628,                 3.6461,               0.000713,               0.000713,               0.000713
                     67,                 3.4277,                 3.9221,                 3.4601,                0.00133,                0.01504,                0.00074,                 0.0004,                 6.4478,                 70.221,                 5.1035,              0.0006932,              0.0006932,              0.0006932
                     68,                 3.9597,                 3.9814,                 3.7165,                0.00133,                0.01504,                0.00074,                 0.0004,                 6.4478,                 70.221,                 5.1035,              0.0006734,              0.0006734,              0.0006734
                     69,                 3.8729,                    4.1,                 3.7421,                0.00133,                0.01504,                0.00074,                 0.0004,                 6.4478,                 70.221,                 5.1035,              0.0006536,              0.0006536,              0.0006536
                     70,                 4.2878,                 4.4641,                 4.2116,                0.00133,                0.01504,                0.00074,                 0.0004,                 6.4478,                 70.221,                 5.1035,              0.0006338,              0.0006338,              0.0006338
                     71,                 3.7789,                 4.0338,                 3.6836,                0.00133,                0.01504,                0.00074,                 0.0004,                 6.4478,                 70.221,                 5.1035,               0.000614,               0.000614,               0.000614
                     72,                 3.9993,                 4.3594,                 3.9865,                0.00133,                0.01504,                0.00074,                 0.0004,                 6.4478,                 70.221,                 5.1035,              0.0005942,              0.0005942,              0.0005942
